,Name,Price,Rate,property,carpet-area,status,floor,transaction,facing,overlooking,ownership,parking,bathroom,balcony
0,"4 BHK Flat for Sale in Vasant Vihar, New Delhi",₹8.50 Cr ,₹21250 per sqft ,Parnami Infra,3000 sqft,Ready to Move,2 out of 4,Resale,North - East,Garden/Park,Freehold,"2 Covered,",5,3
1,"4 BHK Flat for Sale in Sushant Lok-I, Sector 43, Gurgaon",₹2.65 Cr ,₹9815 per sqft ,Dolphin Real Estates,1500 sqft,Ready to Move,Ground out of 4,New Property,North - West,Main Road,Freehold,1 Covered,4,3
2,"3 BHK Flat for Sale in DLF City Phase 2, Gurgaon",₹2.95 Cr ,₹15245 per sqft ,The Unique Realty,144 sqyrd,Ready to Move,1 out of 4,New Property,North,"Garden/Park, Main Road",Freehold,"1 Covered,",3,2
3,"3 BHK Flat for Sale in Rohini Sector 24, New Delhi",₹1.21 Cr ,₹10083 per sqft ,Iconic Realty,1100 sqft,Ready to Move,1 out of 4,New Property,North - East,Garden/Park,Freehold,"1 Covered,",2,1
4,"3 BHK Flat for Sale in Rohini Sector 8, New Delhi",₹2.50 Cr ,₹31250 per sqft ,Synergy Real Estates,750 sqft,Ready to Move,2 out of 4,New Property,East,Garden/Park,Leasehold,1 Covered,3,1
5,"3 BHK Flat for Sale in CRC Joyous, Techzone 4, Greater Noida",₹1.27 Cr ,₹8063 per sqft ,Essbee Realtors,991 sqft,Poss. by Dec '23,6 out of 26,New Property,North,"Garden/Park, Main Road",Freehold,1 Covered,3,4
6,"3 BHK Flat for Sale in Godrej Nature Plus, Sohna Sector 33, Gurgaon",₹1.35 Cr ,₹8671 per sqft ,Investors Home,1100 sqft,Poss. by Sep '23,3 out of 3,New Property,South,Main Road,Freehold,"2 Covered,",3,3
7,"4 BHK Flat for Sale in Luxury Builder Floors, Sushant Lok-I, Sector 43, Gurgaon",₹3.50 Cr ,₹12963 per sqft ,Temple Homes Pvt. Ltd.,2200 sqft,Ready to Move,2 out of 4,New Property,North,"Garden/Park, Pool",Freehold,4 Covered,4,4
8,"5 BHK Flat for Sale in Experion Windchants, Dwarka Expressway, Gurgaon",₹8.75 Cr ,₹10276 per sqft ,Shanti Property,3200 sqft,Ready to Move,25 out of 25,Resale,West,"Pool, Garden/Park, Main Road",Freehold,"3 Covered,",6,6
9,"4 BHK Flat for Sale in DLF City Plot Phase 1, DLF City Phase 1, Gurgaon",₹5.49 Cr ,₹15250 per sqft ,Makaan Search Realty,2700 sqft,Ready to Move,1 out of 4,New Property,North - East,Garden/Park,Freehold,2 Covered,5,2
10,"4 BHK Flat for Sale in Uppal Southend, Sector 49, Sohna Road, Gurgaon",₹1.99 Cr ,₹6633 per sqft ,Worth It Realtors,5600 sqft,Ready to Move,4 out of 4,New Property,North,Garden/Park,Freehold,3 Covered,4,2
11,"4 BHK Flat for Sale in Pioneer Presidia, Golf course Extension Road, Gurgaon",₹7.15 Cr ,₹16486 per sqft ,Miglani Realtors ,1900 sqft,Ready to Move,7 out of 21,Resale,East,Main Road,Freehold,"2 Covered,",3,3
12,"4 BHK Flat for Sale in Vipul World, Sector 48, Gurgaon",₹3.10 Cr ,₹6889 per sqft ,GRAHA PRAVESH,2800 sqft,Ready to Move,3 out of 4,New Property,North,"Garden/Park, Main Road",Freehold,1 Covered,4,5
13,"5 BHK Villa for Sale in Emaar MGF Marbella, Sector 66 Gurgaon",₹12 Cr ,₹18405 per sqft ,Dash Services,1400 sqft,Ready to Move,Ground out of 4,Resale,North - East,"Garden/Park, Main Road",Freehold,"2 Covered,",6,2
14,"4 BHK Flat for Sale in Luxury Floors, DLF City Phase 2, Gurgaon",₹5.75 Cr ,₹12727 per sqft ,House 2 Home Realty ,1800 sqft,Ready to Move,2 out of 4,New Property,North - West,Garden/Park,Freehold,"2 Covered,",4,2
15,"4 BHK Flat for Sale in DLF City Phase 2, Gurgaon",₹4.10 Cr ,₹14416 per sqft ,Amethyst Landbase LLP,1700 sqft,Ready to Move,1 out of 4,Resale,North - East,Garden/Park,Freehold,"2 Covered,",4,4
16,"4 BHK Flat for Sale in Uppal Southend, Sector 49, Gurgaon",₹1.95 Cr ,₹6500 per sqft ,Proporigin Estate,1205 sqft,Ready to Move,4 out of 4,New Property,West,Garden/Park,Leasehold,2 Covered,4,5
17,"4 BHK Flat for Sale in Defence Colony, New Delhi",₹8.25 Cr ,₹33093 per sqft ,Investin PRO Realtech Pvt. Ltd.,3300 sqft,Poss. by Dec '23,2 out of 4,New Property,North,Garden/Park,Freehold,2 Covered,5,2
18,"5 BHK Flat for Sale in Nirala Aspire Phase 4, Sector 16, Greater Noida",₹2.15 Cr ,₹6808 per sqft ,Garg Associates,2025 sqft,Poss. by Jun '24,12 out of 19,New Property,East,"Garden/Park, Pool, Main Road",Freehold,2 Covered,5,2
19,"3 BHK Flat for Sale in DLF City Phase 2, Gurgaon",₹2.25 Cr ,₹14062 per sqft ,Property Milegi,1550 sqft,Ready to Move,1 out of 5,New Property,North - East,Garden/Park,Freehold,"2 Covered,",3,2
20,"4 BHK Flat for Sale in Bestech Altura, Sector 79, Gurgaon",₹2.38 Cr ,₹8957 per sqft ,,2025 sqft,Ready to Move,10 out of 14,New Property,East,"Garden/Park, Main Road",Freehold,"1 Covered,",4,3
21,"4 BHK Flat for Sale in Hauz Khas, New Delhi",₹5.49 Cr ,₹31371 per sqft ,,2000 sqft,Poss. by Jan '27,Ground out of 4,New Property,North - East,Garden/Park,Freehold,5 Open,4,> 10
22,"3 BHK Flat for Sale in Ashiana Amarah, Sector 93, Gurgaon",₹1.35 Cr ,₹7297 per sqft ,,1410 sqft,Ready to Move,1 out of 4,New Property,West,Main Road,Freehold,3 Covered,3,2
23,"> 10 BHK House for Sale in Suncity Township, Suncity, Sector 54, DLF Golf Course Road Gurgaon",₹2.50 Cr ,₹42735 per sqft ,,,Ready to Move,3 out of 4,Resale,North - East,Garden/Park,Freehold,2 Covered,10,2
24,"4 BHK Flat for Sale in South City 1, Sector 41, Gurgaon",₹4.19 Cr ,₹11971 per sqft ,,,Ready to Move,4 out of 4,New Property,South,Garden/Park,Freehold,2 Covered,5,2
25,"4 BHK Flat for Sale in Uppal Southend, Uppal Southend, Sector 49, Sohna Road, Gurgaon",₹2.60 Cr ,₹11818 per sqft ,,,Ready to Move,2 out of 4,New Property,North - East,"Garden/Park, Main Road",Freehold,2 Covered,4,2
26,"3 BHK Flat for Sale in Sushant Lok 3, Sector 57, Gurgaon",₹1.90 Cr ,₹11176 per sqft ,,,Ready to Move,4 out of 4,New Property,East,Main Road,Freehold,"1 Covered,",3,3
27,"4 BHK Flat for Sale in Luxurious Builder Floor, Sushant Lok 2, Gurgaon",₹2.60 Cr ,₹10833 per sqft ,,,Ready to Move,4 out of 14,New Property,,"Garden/Park, Pool, Main Road",Freehold,,4,4
28,"3 BHK Flat for Sale in Uppal Southend, Uppal Southend, Sector 49, Sohna Road, Gurgaon",₹2.05 Cr ,₹9762 per sqft ,,,Ready to Move,,New Property,,,,,3,
29,"3 BHK Flat for Sale in Bestech Altura, Sector 79, Gurgaon",₹1.72 Cr ,₹8536 per sqft ,,,,,Resale,,,,,3,
30,"3 BHK Flat for Sale in Antriksh Grand View, Sector 150, Pusta Road, Noida",₹1.85 Cr ,₹8222 per sqft ,C K Realty,1350 sqft,Ready to Move,9 out of 19,New Property,North - East,"Garden/Park, Pool, Main Road",Leasehold,1 Covered,4,6
31,"3 BHK Flat for Sale in Kishangarh, Vasant Kunj, New Delhi",₹85 Lac ,₹6538 per sqft ,Nandi Realtors,240 sqft,Ready to Move,3 out of 5,New Property,East,"Garden/Park, Main Road",Freehold,"2 Covered,",3,1
32,"3 BHK Flat for Sale in Vatika Sovereign Park, Sector 99, Gurgaon",₹2.91 Cr ,₹10500 per sqft ,Shikhar Realty Services Pvt. Ltd.,2450 sqft,Poss. by Apr '24,5 out of 12,New Property,South - East,"Garden/Park, Pool, Main Road",Freehold,2 Open,4,3
33,3 BHK House for Sale in Sector 45 Block A Gurgaon,₹2.10 Cr ,₹15556 per sqft ,A N Builders & Promoters,789 sqft,Ready to Move,1 out of 3,Resale,East,"Garden/Park, Main Road",Freehold,1 Covered,3,2
34,"3 BHK Flat for Sale in Paramount Emotions, Noida Extension, Noida",₹77 Lac ,₹5580 per sqft ,Piyush Ahuja,750 sqft,Ready to Move,1 out of 19,Resale,North - East,Main Road,Leasehold,1 Covered,2,5
35,"3 BHK Villa for Sale in DLF City Phase 1, DLF City Phase 1 Gurgaon",₹6 Cr ,₹21429 per sqft ,Infinity Investments,1350 sqft,Ready to Move,7 out of 20,Resale,North - West,Main Road,Freehold,"1 Covered,",3,3
36,"3 BHK Flat for Sale in Capital Athena, Sector 1 Greater Noida West, Greater Noida",₹1.06 Cr ,₹8218 per sqft ,Bhoomi Zone,1550 sqft,Ready to Move,2 out of 4,New Property,North - East,"Pool, Garden/Park",Freehold,1 Covered,3,3
37,"2 BHK Flat for Sale in Smart World Orchard, Sector 61, Gurgaon",₹1.66 Cr ,₹14500 per sqft ,AR Realtors ,163 sqyrd,Poss. by Jan '24,1 out of 14,New Property,North - East,"Garden/Park, Pool, Main Road",Leasehold,"2 Covered,",2,2
38,"3 BHK Flat for Sale in Emaar Emerald Estate, Sector 65, Gurgaon",₹1.75 Cr ,₹11667 per sqft ,Shokeen Estates,2048 sqft,Ready to Move,1 out of 4,Resale,North - East,"Garden/Park, Pool, Main Road",Freehold,1 Covered,3,3
39,"4 BHK Flat for Sale in RWA Sector 57, Sector 57 Block G, Golf Course Extension Road, Gurgaon",₹2 Cr ,₹7407 per sqft ,Maakriti Realtors Private Limited,1100 sqft,Ready to Move,10 out of 14,Resale,North - East,"Garden/Park, Main Road",Freehold,5 Open,3,3
40,"4 BHK Flat for Sale in Corona Optus, Sector 37C, Delhi Gurgaon Expressway, Gurgaon",₹1.75 Cr ,₹6331 per sqft ,Arun Singhal,2200 sqft,Ready to Move,2 out of 3,Resale,East,"Garden/Park, Pool, Main Road",Freehold,1 Covered,6,4
41,5 BHK House for Sale in Sector 28 Gurgaon,₹4.10 Cr ,₹7178 per sqft ,Shree Home Solution,3469 sqft,Ready to Move,15 out of 17,Resale,East,"Garden/Park, Main Road",Freehold,1 Open,3,3
42,"3 BHK Flat for Sale in Siddhartha Vihar, NH 24, Ghaziabad",₹1.47 Cr ,₹3928 per sqft ,Space & Services Venture (Regd.),1500 sqft,Poss. by Mar '26,1 out of 4,New Property,East,"Garden/Park, Pool, Main Road",Freehold,"2 Covered,",3,5
43,"2 BHK Flat for Sale in RPS Savana, Sector 88, Faridabad",₹50 Lac ,₹6029 per sqft ,Grow Up Investors,1750 sqft,Ready to Move,3 out of 4,Resale,East,Main Road,Freehold,"2 Covered,",2,2
44,"5 BHK Flat for Sale in Rajendra Nagar, Ghaziabad",₹2.05 Cr ,₹10331 per sqft ,Happy Homez,2300 sqft,Ready to Move,19 out of 28,New Property,North - East,Garden/Park,Freehold,"1 Covered,",4,4
45,"4 BHK Flat for Sale in All Punjabi Welfare Association, Sector 23, Gurgaon",₹2.65 Cr ,₹17584 per sqft ,Anantham Infra Pvt Ltd,1593 sqft,Ready to Move,4 out of 20,New Property,North - East,"Garden/Park, Main Road",Freehold,1 Open,4,2
46,"3 BHK Flat for Sale in M3M Golf Estate, Sector 65, Gurgaon",₹6.10 Cr ,₹7035 per sqft ,Shiv Shakti Properties,360 sqft,Ready to Move,4 out of 7,Resale,East,"Garden/Park, Pool, Main Road",Freehold,"2 Covered,",4,3
47,"3 BHK Flat for Sale in Ramprastha Primera, Garauli Khurd, Sector 37D, Delhi Gurgaon Expressway, Gurgaon",₹1.21 Cr ,₹12513 per sqft ,Happy Homes Properties and Builders,1350 sqft,Ready to Move,2 out of 10,New Property,East,"Garden/Park, Pool, Main Road",Freehold,1 Covered,2,3
48,"3 BHK Flat for Sale in Kesarwani Apartment, Dwarka Sector 5, New Delhi",₹2.44 Cr ,₹15400 per sqft ,Unistar Estates Pvt. Ltd.,1500 sqft,Ready to Move,1 out of 4,Resale,North - West,Garden/Park,Freehold,"1 Covered,",3,5
49,"4 BHK Flat for Sale in Guru Apartment, Dwarka Sector 6, New Delhi",₹3.85 Cr ,₹10511 per sqft ,,800 sqft,Ready to Move,1 out of 4,Resale,East,"Garden/Park, Main Road",Freehold,1 Covered,4,2
50,"3 BHK Flat for Sale in MRG Crown, Sector 106, Gurgaon",₹1.75 Cr ,₹5753 per sqft ,,715 sqft,Poss. by Feb '26,1 out of 4,New Property,East,"Garden/Park, Main Road",Freehold,1 Covered,3,1
51,"1 BHK Flat for Sale in Uttam Nagar, New Delhi",₹21 Lac ,₹5759 per sqft ,,1444 sqft,Ready to Move,4 out of 28,New Property,North,Main Road,Freehold,1 Covered,2,2
52,"3 BHK Flat for Sale in Indirapuram, Ghaziabad",₹83.5 Lac ,₹15312 per sqft ,,1900 sqft,Ready to Move,1 out of 4,New Property,East,Main Road,Freehold,2 Covered,2,3
53,"3 BHK Flat for Sale in DLF Capital Greens 1 and 2, Moti Nagar, Kirti Nagar, New Delhi",₹2.45 Cr ,₹5000 per sqft ,,360 sqft,Ready to Move,3 out of 4,Resale,North - East,"Garden/Park, Main Road",Freehold,,3,1
54,"2 BHK Flat for Sale in Shakti Khand, Indirapuram, Ghaziabad",₹45 Lac ,₹3765 per sqft ,,3500 sqft,Ready to Move,3 out of 9,New Property,East,Main Road,Freehold,,2,1
55,"2 BHK Flat for Sale in Prestige Apartments, Chhattarpur, New Delhi",₹32 Lac ,₹10529 per sqft ,,,Ready to Move,16 out of 20,New Property,East,Main Road,Freehold,,2,2
56,"3 BHK Flat for Sale in Shapoorji Pallonji Joyville Gurugram, Sector 102, Gurgaon",₹1.95 Cr ,₹14856 per sqft ,,,Ready to Move,1 out of 4,Resale,East,Main Road,Freehold,,3,4
57,"3 BHK Flat for Sale in M3M Merlin, Sector 67, Gurgaon",₹3.50 Cr ,₹5128 per sqft ,,,Ready to Move,9 out of 38,Resale,East,"Garden/Park, Pool",Freehold,,4,1
58,"1 BHK Flat for Sale in Uttam Nagar, New Delhi",₹20.5 Lac ,₹20542 per sqft ,,,Ready to Move,,New Property,,,,,1,4
59,"5 BHK Flat for Sale in Tulip Monsella, Golf Course Road, Gurgaon",₹9.25 Cr ,,,,Poss. by Jun '27,,Resale,,,,,6,
60,"3 BHK Flat for Sale in Aashirwad Homes, Neharpar, Faridabad",₹1.05 Cr ,₹7000 per sqft ,Aashirwad Home Developers,1500 sqft,Ready to Move,3 out of 4,New Property,North,Garden/Park,Freehold,2 Covered,3,2
61,"3 BHK Flat for Sale in M3M Woodshire, Sector 107, Gurgaon",₹1.30 Cr ,₹6691 per sqft ,Dwarka Expressway Homes,1720 sqft,Ready to Move,8 out of 15,Resale,East,"Garden/Park, Pool, Main Road",Freehold,"1 Covered,",3,4
62,"4 BHK Flat for Sale in RWA Sushant lok, Sushant Lok-I, Sector 43, Gurgaon",₹2.75 Cr ,₹8488 per sqft ,Premium Estates,2500 sqft,Ready to Move,1 out of 4,New Property,North - East,Main Road,Freehold,3 Covered,4,2
63,"4 BHK Flat for Sale in Sushant Lok 1 Block C, Gurgaon",₹5.50 Cr ,₹9773 per sqft ,Ruchika,502 sqyrd,Ready to Move,3 out of 4,New Property,North - East,Garden/Park,Freehold,2 Open,3,3
64,"4 BHK Flat for Sale in Himachal Dauladhar, Dwarka Sector 5, New Delhi",₹2.15 Cr ,₹9737 per sqft ,Treveni Properties,1800 sqft,Ready to Move,4 out of 7,Resale,East,Main Road,Freehold,1 Open,3,2
65,"3 BHK Flat for Sale in Sector 63A, Gurgaon",₹1.85 Cr ,₹25926 per sqft ,Ambawata Properties,1750 sqft,Ready to Move,1 out of 4,New Property,North,"Garden/Park, Main Road",Freehold,"1 Covered,",3,2
66,"4 BHK Flat for Sale in Executive Floor, Greater Kailash, New Delhi",₹7 Cr ,₹10706 per sqft ,Silver Homz,2300 sqft,Ready to Move,3 out of 4,New Property,North - East,Garden/Park,Freehold,1 Covered,4,2
67,"3 BHK Flat for Sale in IES Officers Apartment, Dwarka Sector 4, New Delhi",₹1.82 Cr ,₹10900 per sqft ,Bajaj Properties,1600 sqft,Ready to Move,4 out of 4,Resale,North - East,"Garden/Park, Main Road",Freehold,"1 Covered,",2,2
68,"3 BHK Flat for Sale in Hind Apartment, Dwarka Sector 5, New Delhi",₹2.18 Cr ,₹7344 per sqft ,A One Realtors,1800 sqft,Ready to Move,8 out of 8,Resale,North - East,"Garden/Park, Main Road",Freehold,1 Covered,3,3
69,"4 BHK Flat for Sale in Vatika Sovereign Next, Sector 82A, Gurgaon",₹2.35 Cr ,₹11250 per sqft ,Bhoomi Bazar,2350 sqft,Ready to Move,10 out of 22,New Property,East,"Garden/Park, Pool",Freehold,"4 Covered,",4,3
70,"4 BHK Flat for Sale in The Vimal Apartment, Dwarka Sector 12, New Delhi",₹1.80 Cr ,₹20202 per sqft ,Sachdeva Associates,1550 sqft,Ready to Move,1 out of 8,Resale,East,"Garden/Park, Main Road",Freehold,2 Covered,3,3
71,3 BHK House for Sale in Palam Vihar Pocket B Gurgaon,₹1.20 Cr ,₹6263 per sqft ,Balaji Properties,66 sqyrd,Ready to Move,3 out of 3,Resale,East,Main Road,Freehold,2 Covered,3,3
72,"2 BHK Flat for Sale in Dwarka Mor, New Delhi",₹31 Lac ,₹46393 per sqft ,Khatu Shyam Builders,50 sqyrd,Ready to Move,2 out of 4,New Property,West,Garden/Park,Freehold,2 Covered,2,1
73,10 BHK Villa for Sale in New Friends Colony New Delhi,₹20 Cr ,₹8231 per sqft ,Shriram Properties,479 sqyrd,Ready to Move,3 out of 3,Resale,South - East,"Garden/Park, Main Road",Freehold,1 Covered,10,8
74,"2 BHK Flat for Sale in DDA Metro View Apartments, Dwarka Sector 13, New Delhi",₹1.07 Cr ,₹4861 per sqft ,Jai Ambay Associates,1100 sqft,Ready to Move,Ground out of 4,Resale,North,Garden/Park,Freehold,"1 Covered,",2,2
75,"2 BHK Flat for Sale in Govindpuri Main, New Delhi",₹35 Lac ,₹11849 per sqft ,Builders World Developer,75 sqyrd,Ready to Move,12 out of 34,New Property,North - East,"Garden/Park, Pool, Main Road",Freehold,1 Open,1,4
76,"3 BHK Flat for Sale in Whiteland The ASPEN, Sector 76, Delhi Gurgaon Expressway, Gurgaon",₹3.48 Cr ,₹10303 per sqft ,Hind Realty Solutions,2937 sqft,Poss. by Nov '27,1 out of 4,New Property,East,Main Road,Freehold,1 Covered,3,2
77,"3 BHK Flat for Sale in RWA Residential Society, Sector 46, Gurgaon",₹1.70 Cr ,₹3443 per sqft ,Parnami Infratech Pvt. Ltd,1405 sqft,Ready to Move,16 out of 20,New Property,North - East,Main Road,Freehold,2 Covered,3,3
78,"3 BHK Flat for Sale in Sector 86, Faridabad",₹65 Lac ,₹4915 per sqft ,Salasar Estate,1688 sqft,Ready to Move,1 out of 4,Resale,North - East,Main Road,Freehold,1 Covered,2,1
79,"3 BHK Flat for Sale in Dwarka Mor, New Delhi",₹51.6 Lac ,₹15152 per sqft ,OM Documentation & Associates ,1040 sqft,Ready to Move,20 out of 28,New Property,East,"Garden/Park, Pool, Main Road",Freehold,2 Covered,2,2
80,"3 BHK Flat for Sale in DLF Capital Greens 1 and 2, Moti Nagar, Kirti Nagar, New Delhi",₹2.50 Cr ,₹6810 per sqft ,Anubhav Property Consultants,1500 sqft,Ready to Move,1 out of 5,Resale,West,Garden/Park,Freehold,1 Covered,3,2
81,"2 BHK Flat for Sale in Emerald Heights, Sector 88, Faridabad",₹76 Lac ,₹6483 per sqft ,Raj Properties,1004 sqft,Ready to Move,3 out of 4,Resale,North,"Garden/Park, Main Road",Freehold,1 Open,2,2
82,"3 BHK Flat for Sale in Signature Global Park 4 and 5, Sohna, Gurgaon",₹76.5 Lac ,₹23214 per sqft ,Agarwal Realtors,1450 sqft,Ready to Move,1 out of 4,Resale,North - West,Garden/Park,Freehold,"1 Covered,",2,2
83,"3 BHK Flat for Sale in Sector 63A, Gurgaon",₹3.25 Cr ,₹12857 per sqft ,Book My Property LLP,1960 sqft,Poss. by Dec '24,12 out of 28,New Property,North - East,"Garden/Park, Pool, Main Road",Freehold,1 Covered,3,1
84,"3 BHK Flat for Sale in Experion Windchants, Sector 112, Gurgaon",₹3.60 Cr ,₹19853 per sqft ,Deal Realtors,2850 sqft,Ready to Move,9 out of 20,Resale,North - East,"Garden/Park, Pool",Freehold,,3,3
85,"4 BHK Flat for Sale in DLF The Summit, Sector 54, Gurgaon",₹6.75 Cr ,₹6500 per sqft ,Mehta Propmart Pvt. Ltd.,1220 sqft,Ready to Move,10 out of 20,Resale,North - East,"Garden/Park, Pool, Main Road",Freehold,,4,3
86,"3 BHK Flat for Sale in PAREENA COBAN RESIDENCES, Sector 99A, Delhi Gurgaon Expressway, Gurgaon",₹1.29 Cr ,₹8889 per sqft ,Aar Pee Ess Associates,1600 sqft,Ready to Move,Ground out of 3,New Property,North - East,"Garden/Park, Main Road",Freehold,,3,2
87,"3 BHK Flat for Sale in DDA Metro View Apartments, Dwarka Sector 13, New Delhi",₹1.60 Cr ,₹9529 per sqft ,Bhoomi Real Estate (Reg.),1500 sqft,Ready to Move,4 out of 7,New Property,North - East,"Garden/Park, Main Road",Freehold,,2,2
88,"3 BHK Flat for Sale in Anusandhan Apartment, Dwarka Sector 6, New Delhi",₹1.62 Cr ,₹4699 per sqft ,Negi Associates,1292 sqft,Ready to Move,19 out of 19,Resale,,"Garden/Park, Pool, Main Road",Freehold,,2,4
89,"2 BHK Flat for Sale in The Golden Gate, Wave City, Ghaziabad",₹60.7 Lac ,,Investment Mantra Homes,,Poss. by Dec '23,,New Property,,,,,2,
90,"4 BHK Flat for Sale in Apna Villa Apartment, Dwarka Sector 10, New Delhi",₹2.45 Cr ,₹11136 per sqft ,Sehrawat Properties Pvt. Ltd.,1700 sqft,Ready to Move,2 out of 9,Resale,North,Garden/Park,Freehold,2 Open,4,3
91,"3 BHK Flat for Sale in Fakhruddin Apartments, Dwarka Sector 10, New Delhi",₹1.95 Cr ,₹9286 per sqft ,R S Associates,1750 sqft,Ready to Move,5 out of 7,Resale,North - East,"Garden/Park, Main Road",Freehold,"1 Covered,",4,3
92,"3 BHK Flat for Sale in IES Officers Apartment, Dwarka Sector 4, New Delhi",₹1.65 Cr ,₹9706 per sqft ,Anand Real Estate ,1650 sqft,Ready to Move,1 out of 4,Resale,North - East,"Garden/Park, Main Road",Freehold,2 Open,2,3
93,"3 BHK Flat for Sale in Umang Monsoon Breeze Phase 2, Sector 78, Gurgaon",₹99.5 Lac ,₹5750 per sqft ,DC Jain Real Estate Services Pvt. Ltd.,1500 sqft,Ready to Move,4 out of 12,New Property,North,"Garden/Park, Pool, Main Road",Freehold,1 Covered,3,3
94,"3 BHK Flat for Sale in DDA Platinum Heights, Dwarka Sector 18, New Delhi",₹1.73 Cr ,₹9611 per sqft ,Devbhoomi Realtors,1600 sqft,Ready to Move,3 out of 10,Resale,North - East,Garden/Park,Freehold,2 Open,2,3
95,"3 BHK Flat for Sale in Sushant Lok 1 Block C, Gurgaon",₹1.90 Cr ,₹10053 per sqft ,Alleanza Landbase Pvt. Ltd.,1520 sqft,Ready to Move,2 out of 4,New Property,North,"Garden/Park, Main Road",Freehold,"2 Covered,",3,2
96,"3 BHK Flat for Sale in Kanak Durga Apartment, Dwarka Sector 12, New Delhi",₹2.25 Cr ,₹12500 per sqft ,Prime Estates,1600 sqft,Ready to Move,2 out of 10,Resale,East,"Garden/Park, Main Road",Freehold,"1 Covered,",3,3
97,"2 BHK Flat for Sale in Unitech Harmony, Nirvana Country, Sector 50, Gurgaon",₹1.75 Cr ,₹9744 per sqft ,S S Properties,1500 sqft,Ready to Move,11 out of 19,Resale,East,"Pool, Garden/Park, Main Road",Freehold,1 Covered,2,2
98,"2 BHK Flat for Sale in Raheja Shilas, Sector 109, Gurgaon",₹70 Lac ,₹4801 per sqft ,Parmar Properties,1100 sqft,Ready to Move,7 out of 14,Resale,North - East,Garden/Park,Freehold,1 Covered,2,2
99,"2 BHK Flat for Sale in DDA Flats Sarita Vihar, Sarita Vihar, Mathura Road, New Delhi",₹1.30 Cr ,₹11304 per sqft ,Sai Associates,1100 sqft,Ready to Move,3 out of 3,Resale,North - West,"Garden/Park, Main Road",Freehold,1 Open,2,3
100,"3 BHK Flat for Sale in Tata La Vida, Sector 113, Gurgaon",₹1.62 Cr ,₹10260 per sqft ,Taniya rawat,1105 sqft,Ready to Move,8 out of 13,New Property,North - East,"Garden/Park, Pool, Main Road",Freehold,1 Covered,3,3
101,"4 BHK Flat for Sale in Prem Milan Apartment, Dwarka Sector 18, New Delhi",₹2.65 Cr ,₹11042 per sqft ,Anand Properties,2200 sqft,Ready to Move,5 out of 10,Resale,South,"Main Road, Garden/Park",Freehold,5 Covered,3,4
102,"5 BHK Flat for Sale in Greater Kailash 1, New Delhi",₹16.50 Cr ,₹25385 per sqft ,Global Realitiez,4800 sqft,Ready to Move,Ground out of 4,New Property,North - West,Garden/Park,Freehold,"1 Covered,",6,5
103,"2 BHK Flat for Sale in DLF One Midtown, Moti Nagar, Kirti Nagar, New Delhi",₹3.20 Cr ,₹18286 per sqft ,Ashwani Jangra,1180 sqft,Poss. by Dec '24,7 out of 39,New Property,North,Main Road,Freehold,1 Open,2,2
104,"4 BHK Flat for Sale in Neeti Khand 2, Indirapuram, Ghaziabad",₹1.60 Cr ,₹7273 per sqft ,Realty Experts,2000 sqft,Ready to Move,Ground out of 3,Resale,East,"Garden/Park, Main Road",Freehold,1 Covered,3,2
105,"3 BHK Flat for Sale in Shubham CGHS, Dwarka Sector 22, New Delhi",₹1.55 Cr ,₹9688 per sqft ,R K Property & Interior,1400 sqft,Ready to Move,4 out of 8,Resale,North - West,"Garden/Park, Main Road",Freehold,"1 Covered,",2,3
106,"3 BHK Flat for Sale in Sector 83, Gurgaon",₹1.23 Cr ,₹13810 per sqft ,LSG Landbase,1073 sqft,Ready to Move,18 out of 33,New Property,East,Garden/Park,Freehold,4 Covered,2,3
107,"2 BHK Flat for Sale in Emaar Emerald Estate, Sector 65, Gurgaon",₹1.45 Cr ,₹26154 per sqft ,Apex Propmart,1020 sqft,Ready to Move,9 out of 12,Resale,North - East,"Garden/Park, Pool, Main Road",Freehold,2 Covered,2,2
108,"6 BHK Flat for Sale in Salcon The Verandas, Sector 54, Gurgaon",₹17 Cr ,₹15997 per sqft ,Aar Pee Ess Associates,5000 sqft,Ready to Move,Ground out of 17,Resale,North - East,"Garden/Park, Pool, Main Road",Freehold,2 Covered,5,4
109,"3 BHK Flat for Sale in Ireo The Grand Arch, Sector 58, Gurgaon",₹3.90 Cr ,₹24568 per sqft ,Yaxis Realty Solutions,5495 sqft,Ready to Move,5 out of 20,Resale,North - East,"Garden/Park, Pool",Freehold,2 Covered,3,2
110,"5 BHK Flat for Sale in Salcon The Verandas, Sector 54, Gurgaon",₹13.50 Cr ,₹10526 per sqft ,Iconic Realtors,1800 sqft,Ready to Move,3 out of 16,Resale,North - East,"Garden/Park, Pool, Main Road",Freehold,1 Covered,5,4
111,"3 BHK Flat for Sale in Dwarka Sector 8, New Delhi",₹2 Cr ,₹9149 per sqft ,Gupta Properties,1000 sqft,Ready to Move,2 out of 4,New Property,East,Main Road,Freehold,2 Covered,3,1
112,"2 BHK Flat for Sale in Central Park Flower Valley Flamingo Floor, Sohna Sector 32, Gurgaon",₹1 Cr ,₹14203 per sqft ,Sanskar Realty ,970 sqft,Ready to Move,1 out of 2,New Property,North - East,Garden/Park,Freehold,2 Covered,2,3
